manufacturer,serial,device,lua,"本文件专用于H7-TOOL产品,版权归属武汉安富莱电子有限公司",2020-10-12,,,,
ST,STBlueNRG,STBlueNRG1,STBlueNRG1.lua,,,,,,
ST,STBlueNRG,STBlueNRG2,STBlueNRG2.lua,,,,,,
ST,STM32F0xx,STM32F0xxx4_16,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F0xxx6_32,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F0xxx8_64,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F0xxxB_128,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F0xxxC_256,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,********************,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F030C6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F030C8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F030CC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,STM32F030F4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F030K6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F030R8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F030RC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,STM32F031C4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F031C6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F031E6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F031F4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F031F6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F031G4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F031G6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F031K4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F031K6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F038C6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F038E6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F038F6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F038G6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F038K6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F042C4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F042C6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F042F4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F042F6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F042G4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F042G6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F042K4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F042K6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F042T6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F048C6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F048G6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F048T6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F051C4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F051C6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F051C8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F051K4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F051K6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F051K8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F051R4,STM32F0xxx4_16.lua,,,,,,
ST,STM32F0xx,STM32F051R6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F051R8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F051T8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F058C8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F058R8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F058T8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F070C6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F070CB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F070F6,STM32F0xxx6_32.lua,,,,,,
ST,STM32F0xx,STM32F070RB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F071C8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F071CB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F071RB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F071V8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F071VB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F072C8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F072CB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F072R8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F072RB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F072V8,STM32F0xxx8_64.lua,,,,,,
ST,STM32F0xx,STM32F072VB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F078CB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F078RB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F078VB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F091CB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F091CC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,STM32F091RB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F091RC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,STM32F091VB,STM32F0xxxB_128.lua,,,,,,
ST,STM32F0xx,STM32F091VC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,STM32F098CC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,STM32F098RC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F0xx,STM32F098VC,STM32F0xxxC_256.lua,,,,,,
ST,STM32F10x,STM32F10xx4_16,STM32F10x_16.lua,,,,,,
ST,STM32F10x,STM32F10xx6_32,STM32F10x_32.lua,,,,,,
ST,STM32F10x,STM32F10xx8_64,STM32F10x_64.lua,,,,,,
ST,STM32F10x,STM32F10xxB_128,STM32F10x_128.lua,,,,,,
ST,STM32F10x,STM32F10xxC_256,STM32F10x_256.lua,,,,,,
ST,STM32F10x,STM32F10xxD_384,STM32F10x_384.lua,,,,,,
ST,STM32F10x,STM32F10xxE_512,STM32F10x_512.lua,,,,,,
ST,STM32F10x,STM32F10xxF_768,STM32F10x_768.lua,,,,,,
ST,STM32F10x,STM32F10xxG_1024,STM32F10x_1024.lua,,,,,,
ST,STM32F10x,STM32F105x8_64,STM32F10x_CL_64.lua,,,,,,
ST,STM32F10x,STM32F105xB_128,STM32F10x_CL_128.lua,,,,,,
ST,STM32F10x,STM32F105xC_256,STM32F10x_CL_256.lua,,,,,,
ST,STM32F10x,STM32F107x8_64,STM32F10x_CL_64.lua,,,,,,
ST,STM32F10x,STM32F107xB_128,STM32F10x_CL_128.lua,,,,,,
ST,STM32F10x,STM32F107xC_256,STM32F10x_CL_256.lua,,,,,,
ST,STM32F10x,********************,STM32F10x_16.lua,,,,,,
ST,STM32F10x,STM32F100C4,STM32F10x_16.lua,,,,,,
ST,STM32F10x,STM32F100C6,STM32F10x_32.lua,,,,,,
ST,STM32F10x,STM32F100C8,STM32F10x_64.lua,,,,,,
